ListName,Id,display_name,Name,label::nepali,media::image::english,media::video::english,media::audio::english,media::image::nepali,media::video::nepali,media::audio::nepali,dist1,q101,q101_b,q101_c,q101_a,q102,q102a
q301a3b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a4,1,,Yes,?,,,,,,,,,,,,,
q301a4,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a4b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a4b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a4b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a4b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a4b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a4b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a4b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a4b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a4b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a4b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a5,1,,Yes,?,,,,,,,,,,,,,
q301a5,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a5b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a5b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a5b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a5b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a5b,5,,5 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a5b,6,,6 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a5b,7,,7 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a5b,8,,Once in every 15 days.,?? ??? ?? ?? ????,,,,,,,,,,,,,
q301a5b,9,,Once in every month.,???? ??????? ?? ????,,,,,,,,,,,,,
q301a5b,10,,Once in every two months.,??? ??????? ?? ????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a6,1,,Yes,?,,,,,,,,,,,,,
q301a6,2,,No,???,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
q301a6b,1,,1 day in a week,??????? ? ???,,,,,,,,,,,,,
q301a6b,2,,2 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a6b,3,,3 days in a week,??????? ? ???,,,,,,,,,,,,,
q301a6b,4,,4 days in a week,??????? ? ???,,,,,,,,,,,,,
